id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,attack_category,severity,timestamp,data_source,is_synthetic
NET-001181,41.11,UDP,imap,REJ,97804,43351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,38,0.0404,0.0989,0.0829,0.0763,0.8093,0.1691,0.2917,178,54,0.7477,0.1354,0.6489,0.2184,0.0102,0.0971,0.0899,0.0435,worm,r2l,high,2026-08-08T17:39:29.996404+00:00,synthetic_network_traffic,True
NET-000358,14.44,HTTPS,smtp,SF,46803,12547,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,100,8,0.0701,0.0361,0.0825,0.0329,0.7745,0.292,0.2621,211,63,0.8497,0.1841,0.5601,0.229,0.0103,0.0115,0.0145,0.0454,normal,normal,none,2026-08-08T17:39:29.966396+00:00,synthetic_network_traffic,True
NET-000982,111.86,HTTPS,ssh,SF,22923,36572,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,24,29,0.0868,0.0852,0.0714,0.0052,0.9228,0.2611,0.1398,246,66,0.9399,0.1368,0.7363,0.0825,0.0643,0.0964,0.0005,0.0142,normal,normal,none,2026-08-08T17:39:29.987404+00:00,synthetic_network_traffic,True
NET-001876,85.84,TCP,mysql,S0,356,499,0,0,0,5,0,1,0,0,0,0,2,0,1,0,0,0,473,309,0.5615,0.0313,0.0157,0.0951,1.0,0.0194,0.1217,178,136,0.9583,0.1115,0.6077,0.2145,0.0649,0.0858,0.0041,0.0742,udpstorm,dos,high,2026-08-08T17:39:30.030403+00:00,synthetic_network_traffic,True
NET-000077,24.4,TCP,dns,SF,13602,48713,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,59,54,0.0128,0.0162,0.0106,0.0564,0.9803,0.1531,0.1948,45,94,0.7028,0.2816,0.7688,0.2718,0.0063,0.0576,0.0329,0.056,normal,normal,none,2026-08-08T17:39:29.956401+00:00,synthetic_network_traffic,True
NET-000063,74.98,TCP,http,S3,19898,45217,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,79,85,0.0278,0.0001,0.0322,0.0746,0.9386,0.1464,0.126,66,253,0.9025,0.1903,0.5116,0.1564,0.0538,0.0101,0.0829,0.0588,normal,normal,none,2026-08-08T17:39:29.955416+00:00,synthetic_network_traffic,True
NET-001972,7.5,TCP,ssh,RSTO,53223,39851,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,40,0.065,0.0289,0.0977,0.0803,0.7096,0.2512,0.0497,190,169,0.7287,0.2798,0.9443,0.2436,0.0465,0.0016,0.0001,0.0888,warezmaster,r2l,high,2026-08-08T17:39:30.034429+00:00,synthetic_network_traffic,True
NET-001648,29.67,ICMP,smtp,RSTR,52565,24882,0,0,0,10,3,0,0,0,0,0,2,0,0,0,0,0,10,48,0.0306,0.005,0.0765,0.0184,0.8461,0.1782,0.0428,57,239,0.9684,0.0794,0.6655,0.2169,0.0252,0.0205,0.0133,0.0692,ftp_write,r2l,high,2026-08-08T17:39:30.017407+00:00,synthetic_network_traffic,True
NET-000570,296.59,HTTP,ssh,SF,31348,48365,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,27,86,0.0078,0.0831,0.0454,0.0517,0.9042,0.1639,0.2848,83,221,0.851,0.0805,0.5344,0.0593,0.0701,0.0319,0.0389,0.0875,normal,normal,none,2026-08-08T17:39:29.974396+00:00,synthetic_network_traffic,True
NET-000875,94.94,HTTPS,ssh,SF,45818,37944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76,94,0.0872,0.0866,0.0286,0.0671,0.7678,0.034,0.1579,174,70,0.8672,0.0343,0.8701,0.0005,0.0804,0.0728,0.0607,0.0557,normal,normal,none,2026-08-08T17:39:29.984404+00:00,synthetic_network_traffic,True
NET-001200,26.19,TCP,ftp,RSTR,61607,23271,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,50,50,0.0385,0.0523,0.0888,0.0244,0.7655,0.1666,0.2777,121,209,0.7137,0.2566,0.673,0.0061,0.0562,0.0948,0.0275,0.0829,spy,r2l,high,2026-08-08T17:39:29.997404+00:00,synthetic_network_traffic,True
NET-000715,111.34,HTTP,http,SF,13028,30560,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,27,36,0.0864,0.0284,0.0208,0.0412,0.8779,0.035,0.1186,191,109,0.8951,0.2444,0.7018,0.0527,0.0176,0.0681,0.0034,0.0108,normal,normal,none,2026-08-08T17:39:29.979405+00:00,synthetic_network_traffic,True
NET-001687,66.33,ICMP,mysql,RSTO,40017,57387,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,16,19,0.0635,0.0412,0.0307,0.0862,0.9134,0.1109,0.1685,111,70,0.7648,0.2435,0.9251,0.0759,0.0839,0.0509,0.0744,0.0302,snmpguess,r2l,high,2026-08-08T17:39:30.019406+00:00,synthetic_network_traffic,True
NET-001836,48.79,TCP,mysql,S0,96606,24724,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,39,0.0911,0.0801,0.0377,0.0784,0.827,0.0285,0.1497,149,232,0.8833,0.1351,0.9796,0.0635,0.0574,0.0239,0.0362,0.0619,worm,r2l,high,2026-08-08T17:39:30.028405+00:00,synthetic_network_traffic,True
NET-000049,68.55,HTTP,ssh,SF,45286,4688,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,51,94,0.0042,0.0574,0.0192,0.0515,0.9932,0.0472,0.1547,32,194,0.7586,0.2879,0.9144,0.1829,0.0904,0.0634,0.033,0.0051,normal,normal,none,2026-08-08T17:39:29.954405+00:00,synthetic_network_traffic,True
NET-001290,14.31,ICMP,postgresql,REJ,12769,58263,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,41,11,0.0629,0.0255,0.004,0.0977,0.7709,0.1621,0.2709,244,180,0.9322,0.0713,0.5818,0.1329,0.052,0.0236,0.0369,0.0842,snmpgetattack,r2l,high,2026-08-08T17:39:30.000404+00:00,synthetic_network_traffic,True
NET-000363,213.94,TCP,http,S3,30979,42047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,40,0.0735,0.0163,0.0056,0.0811,0.8452,0.1019,0.2413,91,177,0.8338,0.2676,0.9499,0.2806,0.0785,0.0416,0.0596,0.012,normal,normal,none,2026-08-08T17:39:29.967396+00:00,synthetic_network_traffic,True
NET-000756,209.77,TCP,http,S1,29092,21036,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,48,76,0.096,0.073,0.0239,0.0261,0.737,0.0929,0.0353,234,219,0.8874,0.0491,0.9012,0.1047,0.0208,0.0674,0.0264,0.0179,normal,normal,none,2026-08-08T17:39:29.980412+00:00,synthetic_network_traffic,True
NET-000097,207.24,TCP,dns,SF,30966,35591,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,69,17,0.0484,0.0646,0.0367,0.0249,0.7808,0.2379,0.0341,60,161,0.7164,0.1042,0.8278,0.0142,0.0776,0.0907,0.0345,0.0778,normal,normal,none,2026-08-08T17:39:29.957401+00:00,synthetic_network_traffic,True
NET-001259,96.34,ICMP,imap,REJ,58797,18299,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,5,31,0.0917,0.0877,0.0494,0.021,0.7427,0.2131,0.1886,57,12,0.713,0.006,0.5792,0.0032,0.0292,0.0708,0.0348,0.0227,saint,probe,high,2026-08-08T17:39:29.999404+00:00,synthetic_network_traffic,True
NET-000637,210.65,HTTPS,dns,SF,19827,37195,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,89,0.0148,0.0443,0.0074,0.0792,0.9662,0.2105,0.1467,211,100,0.7445,0.0133,0.6928,0.037,0.0709,0.069,0.0672,0.0032,normal,normal,none,2026-08-08T17:39:29.977407+00:00,synthetic_network_traffic,True
NET-001498,76.36,ICMP,pop3,RSTR,79970,51982,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,39,18,0.0658,0.0117,0.0702,0.0827,0.745,0.0691,0.0789,148,178,0.8711,0.1464,0.7737,0.0445,0.0636,0.0971,0.0007,0.0764,xterm,u2r,high,2026-08-08T17:39:30.011404+00:00,synthetic_network_traffic,True
NET-000749,143.14,TCP,http,SF,3115,11973,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,12,81,0.0469,0.0601,0.0176,0.0678,0.7562,0.1199,0.2507,42,201,0.9718,0.2146,0.8959,0.0468,0.075,0.0989,0.0348,0.052,normal,normal,none,2026-08-08T17:39:29.980412+00:00,synthetic_network_traffic,True
NET-001433,26.37,UDP,postgresql,S0,4730,12601,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,44,3,0.0961,0.0801,0.0379,0.0204,0.8147,0.0735,0.283,64,135,0.7194,0.2218,0.694,0.256,0.0361,0.0442,0.0172,0.0293,ps,u2r,high,2026-08-08T17:39:30.008406+00:00,synthetic_network_traffic,True
NET-001827,5.03,ICMP,mysql,RSTR,94633,59787,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,24,46,0.0161,0.0861,0.0735,0.0023,0.7521,0.068,0.2973,10,250,0.9718,0.2626,0.7765,0.1311,0.083,0.0565,0.0561,0.0723,mailbomb,dos,high,2026-08-08T17:39:30.028405+00:00,synthetic_network_traffic,True
NET-001997,17.35,TCP,dns,RSTR,151,471,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,496,439,0.6536,0.0099,0.0138,0.0691,1.0,0.0072,0.2882,234,250,0.9764,0.123,0.661,0.0615,0.0786,0.0586,0.0425,0.0432,udpstorm,dos,high,2026-08-08T17:39:30.035424+00:00,synthetic_network_traffic,True
NET-000567,209.78,TCP,dns,SF,29071,15903,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,65,53,0.0959,0.022,0.0892,0.0842,0.8392,0.0304,0.136,145,91,0.8314,0.016,0.6494,0.1085,0.0741,0.0157,0.0366,0.0994,normal,normal,none,2026-08-08T17:39:29.974396+00:00,synthetic_network_traffic,True
NET-000010,231.03,TCP,http,S1,44147,2703,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,77,94,0.0358,0.0501,0.0483,0.0649,0.9436,0.2481,0.212,124,58,0.8555,0.2303,0.7146,0.2748,0.051,0.0791,0.0968,0.0404,normal,normal,none,2026-08-08T17:39:29.953405+00:00,synthetic_network_traffic,True
NET-001234,65.3,UDP,ssh,S0,824,696,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,45,5,0.0124,0.0544,0.0381,0.0369,0.0947,0.8948,0.1953,85,111,0.9357,0.0913,0.8434,0.2462,0.011,0.0182,0.0391,0.0908,ipsweep,probe,high,2026-08-08T17:39:29.998404+00:00,synthetic_network_traffic,True
NET-000479,176.1,TCP,smtp,S2,44122,34528,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,36,0.0595,0.0681,0.0138,0.051,0.7743,0.2328,0.0131,187,150,0.9288,0.1265,0.7899,0.0966,0.075,0.0155,0.0454,0.0882,normal,normal,none,2026-08-08T17:39:29.970396+00:00,synthetic_network_traffic,True
NET-000826,99.42,TCP,mysql,S3,23730,31382,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,49,48,0.0461,0.096,0.0135,0.0369,0.832,0.1117,0.1607,141,183,0.9417,0.2185,0.5262,0.049,0.0233,0.0845,0.0093,0.0205,normal,normal,none,2026-08-08T17:39:29.982405+00:00,synthetic_network_traffic,True
NET-000368,176.95,UDP,http,SF,19097,34267,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,45,90,0.0047,0.0781,0.0534,0.0428,0.8138,0.1755,0.1081,156,76,0.7591,0.2747,0.7993,0.2168,0.0119,0.0893,0.0296,0.0172,normal,normal,none,2026-08-08T17:39:29.967396+00:00,synthetic_network_traffic,True
NET-001372,47.68,UDP,mysql,S0,409,749,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,5,0.0627,0.0143,0.0141,0.0968,0.2312,0.8675,0.2857,62,193,0.7499,0.16,0.7313,0.2182,0.0419,0.0917,0.0953,0.027,ipsweep,probe,high,2026-08-08T17:39:30.004404+00:00,synthetic_network_traffic,True
NET-000175,10.61,HTTPS,dns,SF,11425,49728,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,80,26,0.002,0.0837,0.0009,0.0784,0.944,0.1764,0.0539,69,210,0.7088,0.0918,0.6834,0.1544,0.0415,0.042,0.0174,0.0204,normal,normal,none,2026-08-08T17:39:29.960396+00:00,synthetic_network_traffic,True
NET-001088,172.12,TCP,mysql,SF,35349,49877,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,62,50,0.0359,0.0988,0.0376,0.026,0.706,0.1612,0.2761,61,130,0.9695,0.2838,0.9601,0.1928,0.0929,0.0825,0.0334,0.0221,normal,normal,none,2026-08-08T17:39:29.991397+00:00,synthetic_network_traffic,True
NET-001087,190.07,HTTPS,ssh,SF,13020,28025,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,53,98,0.0608,0.0602,0.0855,0.0577,0.8291,0.0582,0.0707,225,192,0.8206,0.1613,0.5586,0.1211,0.0009,0.0734,0.0511,0.0422,normal,normal,none,2026-08-08T17:39:29.991397+00:00,synthetic_network_traffic,True
NET-000439,192.77,HTTPS,ssh,SF,23366,47937,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,65,5,0.0234,0.0834,0.0263,0.0758,0.9458,0.1016,0.2803,158,105,0.9414,0.2139,0.76,0.1195,0.0029,0.0321,0.0405,0.0968,normal,normal,none,2026-08-08T17:39:29.969396+00:00,synthetic_network_traffic,True
NET-000815,160.63,UDP,mysql,SF,40670,46519,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,20,18,0.0037,0.0155,0.0802,0.0912,0.8344,0.0686,0.1337,55,207,0.7096,0.2766,0.6652,0.281,0.0289,0.0573,0.0345,0.084,normal,normal,none,2026-08-08T17:39:29.982405+00:00,synthetic_network_traffic,True
NET-001698,41.2,UDP,ssh,RSTR,387,209,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,447,206,0.9808,0.0111,0.0701,0.0854,1.0,0.2833,0.2292,34,74,0.9528,0.2443,0.5119,0.2582,0.0487,0.0017,0.1,0.0756,apache2,dos,high,2026-08-08T17:39:30.019406+00:00,synthetic_network_traffic,True
NET-000030,32.91,TCP,dns,SF,49202,1973,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,49,16,0.0328,0.0706,0.0724,0.0902,0.8164,0.0128,0.2509,40,106,0.8712,0.2566,0.9128,0.0495,0.093,0.008,0.0502,0.0219,normal,normal,none,2026-08-08T17:39:29.954405+00:00,synthetic_network_traffic,True
NET-001286,3.71,UDP,ecr_i,SF,233,388,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,162,458,0.9738,0.0364,0.0756,0.0826,1.0,0.2564,0.1218,128,86,0.9485,0.1777,0.9488,0.1875,0.0703,0.0623,0.0333,0.0349,pod,dos,high,2026-08-08T17:39:30.000404+00:00,synthetic_network_traffic,True
NET-000150,144.79,UDP,ssh,SF,29196,13172,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,69,83,0.0892,0.0587,0.0213,0.0675,0.7342,0.1294,0.1115,92,135,0.7114,0.297,0.9439,0.0865,0.0823,0.0155,0.0232,0.0365,normal,normal,none,2026-08-08T17:39:29.959397+00:00,synthetic_network_traffic,True
NET-000661,227.11,HTTPS,mysql,SF,19659,37862,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,52,91,0.007,0.0197,0.0874,0.0699,0.9279,0.2546,0.0696,41,140,0.7894,0.2418,0.6711,0.0118,0.0798,0.0817,0.0829,0.042,normal,normal,none,2026-08-08T17:39:29.977407+00:00,synthetic_network_traffic,True
NET-000646,197.01,HTTPS,smtp,SF,7486,39421,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,2,29,0.0407,0.0727,0.0127,0.0083,0.9998,0.1734,0.0644,180,160,0.9972,0.1526,0.7605,0.0686,0.0155,0.0338,0.0377,0.0923,normal,normal,none,2026-08-08T17:39:29.977407+00:00,synthetic_network_traffic,True
NET-000259,283.52,TCP,dns,SF,44029,109,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,33,56,0.0194,0.0472,0.0823,0.0972,0.7825,0.2463,0.122,94,80,0.7343,0.1264,0.6201,0.1861,0.0865,0.0225,0.031,0.0844,normal,normal,none,2026-08-08T17:39:29.963396+00:00,synthetic_network_traffic,True
NET-000819,3.6,TCP,smtp,S2,6253,21418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,81,0.0042,0.0272,0.0912,0.0221,0.9297,0.2795,0.1427,138,108,0.7853,0.1326,0.7461,0.1524,0.054,0.0767,0.0994,0.0729,normal,normal,none,2026-08-08T17:39:29.982405+00:00,synthetic_network_traffic,True
NET-000674,12.45,TCP,http,SF,19465,49133,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,17,79,0.0426,0.0121,0.0528,0.033,0.7527,0.1225,0.296,112,112,0.9162,0.0562,0.5772,0.237,0.0897,0.0799,0.0222,0.0295,normal,normal,none,2026-08-08T17:39:29.978405+00:00,synthetic_network_traffic,True
NET-000305,53.65,HTTP,dns,SF,43901,37834,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,65,42,0.0361,0.0954,0.0157,0.005,0.8017,0.2866,0.1845,86,26,0.7178,0.2177,0.8841,0.1645,0.0877,0.0928,0.0871,0.0961,normal,normal,none,2026-08-08T17:39:29.965397+00:00,synthetic_network_traffic,True
NET-000212,158.69,HTTPS,ssh,SF,32058,37538,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,47,64,0.0469,0.043,0.0928,0.07,0.8411,0.1117,0.1372,168,38,0.7397,0.0684,0.6332,0.0487,0.0475,0.0252,0.0724,0.0621,normal,normal,none,2026-08-08T17:39:29.962397+00:00,synthetic_network_traffic,True
NET-001652,74.79,TCP,dns,RSTO,215,363,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,43,3,0.0263,0.0333,0.0234,0.026,0.2103,0.8364,0.0159,185,20,0.8372,0.0474,0.9797,0.2321,0.0187,0.0569,0.0699,0.02,satan,probe,high,2026-08-08T17:39:30.017407+00:00,synthetic_network_traffic,True
NET-001327,78.14,ICMP,mysql,RSTR,64697,44178,0,0,0,2,4,0,0,0,0,0,1,0,1,0,0,0,4,42,0.0606,0.0968,0.0708,0.0764,0.8215,0.0485,0.1294,199,210,0.8634,0.1801,0.5313,0.1234,0.0237,0.011,0.0947,0.0287,guess_passwd,r2l,high,2026-08-08T17:39:30.002403+00:00,synthetic_network_traffic,True
NET-000968,85.72,HTTPS,ssh,SF,7369,570,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,82,95,0.0423,0.0711,0.0441,0.0352,0.9209,0.1799,0.14,238,141,0.9386,0.1217,0.9062,0.2163,0.0798,0.0029,0.0729,0.0444,normal,normal,none,2026-08-08T17:39:29.986400+00:00,synthetic_network_traffic,True
NET-000678,214.61,HTTPS,http,SF,18948,39042,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,83,3,0.0521,0.0668,0.0123,0.0582,0.7116,0.0018,0.1482,170,82,0.8545,0.0515,0.9129,0.1653,0.0372,0.0904,0.0421,0.0408,normal,normal,none,2026-08-08T17:39:29.978405+00:00,synthetic_network_traffic,True
NET-000430,262.61,TCP,http,SF,9377,42659,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,46,19,0.0333,0.0962,0.095,0.0449,0.8233,0.2438,0.0876,247,203,0.9336,0.0591,0.8935,0.2858,0.075,0.0633,0.0505,0.0279,normal,normal,none,2026-08-08T17:39:29.969396+00:00,synthetic_network_traffic,True
NET-000752,65.58,HTTPS,smtp,S3,40611,44999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,76,99,0.0371,0.0862,0.0398,0.0543,0.9095,0.1003,0.1368,17,214,0.9057,0.0611,0.7123,0.2952,0.0091,0.0599,0.0562,0.0393,normal,normal,none,2026-08-08T17:39:29.980412+00:00,synthetic_network_traffic,True
